id,name,R,G,B
1,spleen,157,108,162
2,kidney_right,185,102,83
3,kidney_left,185,102,83
4,gallbladder,139,150,98
5,liver,221,130,101
6,stomach,216,132,105
7,pancreas,249,180,111
8,adrenal_gland_right,249,186,150
9,adrenal_gland_left,249,186,150
10,lung_upper_lobe_left,172,138,115
11,lung_lower_lobe_left,224,186,162
12,lung_upper_lobe_right,172,138,115
13,lung_middle_lobe_right,202,164,140
14,lung_lower_lobe_right,224,186,162
15,esophagus,211,171,143
16,trachea,182,228,255
17,thyroid_gland,220,160,30
18,small_bowel,205,167,142
19,duodenum,255,253,229
20,colon,204,168,143
21,urinary_bladder,222,154,132
22,prostate,230,158,140
23,kidney_cyst_left,205,205,100
24,kidney_cyst_right,205,205,100
25,sacrum,212,188,102
26,vertebrae_S1,212,208,122
27,vertebrae_L5,212,188,102
28,vertebrae_L4,212,188,102
29,vertebrae_L3,212,188,102
30,vertebrae_L2,212,188,102
31,vertebrae_L1,212,188,102
32,vertebrae_T12,226,202,134
33,vertebrae_T11,226,202,134
34,vertebrae_T10,226,202,134
35,vertebrae_T9,226,202,134
36,vertebrae_T8,226,202,134
37,vertebrae_T7,226,202,134
38,vertebrae_T6,226,202,134
39,vertebrae_T5,226,202,134
40,vertebrae_T4,226,202,134
41,vertebrae_T3,226,202,134
42,vertebrae_T2,226,202,134
43,vertebrae_T1,226,202,134
44,vertebrae_C7,255,255,207
45,vertebrae_C6,255,255,207
46,vertebrae_C5,255,255,207
47,vertebrae_C4,255,255,207
48,vertebrae_C3,255,255,207
49,vertebrae_C2,255,255,207
50,vertebrae_C1,255,255,207
51,heart,206,110,84
52,aorta,224,97,76
53,pulmonary_vein,0,122,171
54,brachiocephalic_trunk,196,121,79
55,subclavian_artery_right,216,101,89
56,subclavian_artery_left,216,101,69
57,common_carotid_artery_right,10,105,155
58,common_carotid_artery_left,0,112,165
59,brachiocephalic_vein_left,0,161,196
60,brachiocephalic_vein_right,0,151,206
61,atrial_appendage_left,0,161,196
62,superior_vena_cava,0,141,226
63,inferior_vena_cava,0,151,206
64,portal_vein_and_splenic_vein,0,151,206
65,iliac_artery_left,216,101,79
66,iliac_artery_right,216,101,79
67,iliac_vena_left,0,151,206
68,iliac_vena_right,0,151,206
69,humerus_left,205,179,108
70,humerus_right,205,179,108
71,scapula_left,212,188,102
72,scapula_right,212,188,102
73,clavicula_left,205,179,108
74,clavicula_right,205,179,108
75,femur_left,255,238,170
76,femur_right,255,238,170
77,hip_left,212,188,102
78,hip_right,212,188,102
79,spinal_cord,244,214,49
80,gluteus_maximus_left,188,95,76
81,gluteus_maximus_right,188,95,76
82,gluteus_medius_left,178,105,76
83,gluteus_medius_right,178,105,76
84,gluteus_minimus_left,178,95,86
85,gluteus_minimus_right,178,95,86
86,autochthon_left,171,85,68
87,autochthon_right,171,85,68
88,iliopsoas_left,188,95,76
89,iliopsoas_right,188,95,76
90,brain,250,250,225
91,skull,241,213,144
92,rib_left_1,253,232,158
93,rib_left_2,253,232,158
94,rib_left_3,253,232,158
95,rib_left_4,253,232,158
96,rib_left_5,253,232,158
97,rib_left_6,253,232,158
98,rib_left_7,253,232,158
99,rib_left_8,253,232,158
100,rib_left_9,253,232,158
101,rib_left_10,253,232,158
102,rib_left_11,253,232,158
103,rib_left_12,253,232,158
104,rib_right_1,253,232,158
105,rib_right_2,253,232,158
106,rib_right_3,253,232,158
107,rib_right_4,253,232,158
108,rib_right_5,253,232,158
109,rib_right_6,253,232,158
110,rib_right_7,253,232,158
111,rib_right_8,253,232,158
112,rib_right_9,253,232,158
113,rib_right_10,253,232,158
114,rib_right_11,253,232,158
115,rib_right_12,253,232,158
116,sternum,244,217,154
117,costal_cartilages,111,184,210